[-],[km^2],[mm],[mm],[mm],[mm],[mm],[-],[-],[-],[%],[mm],[mm],[mm],[mm],[m^3],[-],[-],[-],[-] 
filename,A,S1_0,S2_0,S3_0,BS_0,SS_0,BFI,Kbase,Ksurf,A_i,C1,C2,C3,Cavg,Qsum,R2,NSE,RMSE,PBIAS 
results_ExportTest2-45.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.55,86.868,173.736,114,131361858.28120844,0.20704269031284386,-40.30669004586205,2003436.1775921918,-654.6140658692957 
results_ExportTest2-46.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.625,87.63,175.26,115,130925138.94118774,0.20677822597050063,-40.0373415396564,1996893.5921175,-652.1053121021916 
results_ExportTest2-47.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.7,88.392,176.784,116,130488419.60116705,0.20651171582606137,-39.7690292243533,1990354.7937741047,-649.5965583350876 
results_ExportTest2-48.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.775,89.154,178.308,117,130051700.26114634,0.20624314406236266,-39.501753099952744,1983819.8200098951,-647.0878045679834 
results_ExportTest2-49.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.85,89.916,179.832,118,129614980.92112565,0.2059724947625305,-39.23551316645475,1977288.7087457753,-644.5790508008794 
results_ExportTest2-50.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",8.925,90.678,181.356,119,129178261.58110493,0.20569975191014905,-38.97030942385929,1970761.4983827656,-642.0702970337752 
results_ExportTest2-51.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.0,91.44,182.88,120,128741542.24108425,0.20542489938946,-38.70614187216639,1964238.227809229,-639.5615432666713 
results_ExportTest2-52.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.075,92.202,184.404,121,128304822.9010635,0.2051479209855867,-38.443010511376016,1957718.9364082124,-637.052789499567 
results_ExportTest2-53.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.15,92.964,185.928,122,127868103.56104282,0.204868800384791,-38.1809153414882,1951203.664064921,-634.5440357324629 
results_ExportTest2-54.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.225,93.726,187.452,123,127431384.22102211,0.20458752117475937,-37.91985636250294,1944692.451174311,-632.0352819653589 
results_ExportTest2-55.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.3,94.488,188.976,124,126994889.13954216,0.20436740098780676,-37.655782644849104,1938083.7906432531,-629.5278164614648 
results_ExportTest2-56.csv,3868.966716,0.0,0.0,0.0,0.0,0.0,0.35,0.95,0.35,"[0.134, 0.433, 0.433]",9.375,95.25,190.5,125,126558531.84126279,0.20418437959055466,-37.3902674718225,1931416.2585375544,-627.0211424593244 
